ENTITYA	TYPEA	IDA	DATABASEA	ENTITYB	TYPEB	IDB	DATABASEB	EFFECT	MECHANISM
SIM1	protein	P81133	UNIPROT	ARNT	protein	P27540	UNIPROT	up-regulates activity	binding
PDGFRB	protein	P09619	UNIPROT	PTK2	protein	Q05397	UNIPROT	up-regulates	phosphorylation
SIM2	protein	Q14190	UNIPROT	ARNT	protein	P27540	UNIPROT	up-regulates activity	binding
SIM1	protein	P81133	UNIPROT	AHR-ARNT	complex	SIGNOR-C125	SIGNOR	down-regulates activity	binding
ARNT	protein	P27540	UNIPROT	AHR-ARNT	complex	SIGNOR-C125	SIGNOR	form complex	binding
AHR	protein	P35869	UNIPROT	AHR-ARNT	complex	SIGNOR-C125	SIGNOR	form complex	binding
CTNNB1	protein	P35222	UNIPROT	TCF7	protein	P36402	UNIPROT	up-regulates	binding
FYN	protein	P06241	UNIPROT	LCP2	protein	Q13094	UNIPROT	down-regulates	phosphorylation
DLX2	protein	Q07687	UNIPROT	MSX2	protein	P35548	UNIPROT	down-regulates activity	binding
EGFR	protein	P00533	UNIPROT	SHC1	protein	P29353	UNIPROT	up-regulates activity	binding
TNFRSF6B	protein	O95407	UNIPROT	TNFSF15	protein	O95150	UNIPROT	down-regulates	binding
DLX2	protein	Q07687	UNIPROT	MSX1	protein	P28360	UNIPROT	down-regulates activity	binding
MSX1	protein	P28360	UNIPROT	DLX2	protein	Q07687	UNIPROT	down-regulates activity	binding
MSX2	protein	P35548	UNIPROT	DLX2	protein	Q07687	UNIPROT	down-regulates activity	binding
WNT3A	protein	P56704	UNIPROT	FZD1	protein	Q9UP38	UNIPROT	up-regulates activity	binding
MSX1	protein	P28360	UNIPROT	DLX5	protein	P56178	UNIPROT	down-regulates activity	binding
MSX2	protein	P35548	UNIPROT	DLX5	protein	P56178	UNIPROT	down-regulates activity	binding
DAAM1	protein	Q9Y4D1	UNIPROT	RAC1	protein	P63000	UNIPROT	up-regulates activity	
MYF5	protein	P13349	UNIPROT	Skeletal Muscle Differentiation	phenotype	SIGNOR-PH1	SIGNOR	up-regulates	
WNT3A	protein	P56704	UNIPROT	FZD1	protein	Q9UP38	UNIPROT	up-regulates activity	binding
WNT1	protein	P04628	UNIPROT	LRP5	protein	O75197	UNIPROT	up-regulates activity	binding
WNT3A	protein	P56704	UNIPROT	LRP5	protein	O75197	UNIPROT	up-regulates activity	binding
WNT1	protein	P04628	UNIPROT	LRP6	protein	O75581	UNIPROT	up-regulates activity	binding
MAPK14	protein	Q16539	UNIPROT	EEF2K	protein	O00418	UNIPROT	down-regulates activity	phosphorylation
WNT1	protein	P04628	UNIPROT	FZD1	protein	Q9UP38	UNIPROT	up-regulates activity	binding
WNT1	protein	P04628	UNIPROT	FZD3	protein	Q9NPG1	UNIPROT	up-regulates activity	binding
WNT11	protein	O96014	UNIPROT	FZD3	protein	Q9NPG1	UNIPROT	up-regulates activity	binding
